您,0
誰,0
姓名,0
國,0
中國,0
美國,0
日本,0
名字,0
家,0
電話,0
時間,0
小時,0
現在,0
今年,0
今天,0
明天,0
昨天,0
早上,0
上午,0
中午,0
下午,0
晚上,0
兩,0
時候,0
百,0
半,0
千,0
爸爸,0
媽媽,0
哥哥,0
弟弟,0
姊,0
姐,0
妹,0
小孩,0
的,0
第,0
分,0
點,0
個,0
歲,0
年,0
住,0
來,0
是,0
姓,0
覺得,0
喜歡,0
打電話,0
漂亮,0
高,0
老,0
好,0
很,0
真,0
電腦,0
老師,0
買,0
忙,0
學生,0
大學,0
學校,0
中文,0
同學,0
字,0
筆,0
學,0
問,0
說,0
寫,0
聽,0
對,0
能,0
可以,0
上課,0
知道,0
電視,0
水,0
久,0
早,0
再,0
書,0
電影,0
以前,0
以後,0
走,0
等,0
看,0
就,0
什麼,0
朋友,0
東西,0
吧,0
呢,0
嗎,0
找,0
做,0
再見,0
怎麼樣,0
叫,0
謝謝,0
對不起,0
請問,0
這,0
那,0
公共汽車,0
公車,0
車子,0
到,0
去,0
回,0
坐,0
這裡,0
那裡,0
哪裡,0
開車,0
錢,0
多少,0
給,0
貴,0
便宜,0
大,0
小,0
難,0
容易,0
有,0
想,0
幾,0
塊,0
位,0
飯,0
吃,0
請,0
也,0
不,0
沒,0
都,0
只,0
可是,0
還是,0
了,0
得,0
過,0
沒有,0
男,0
女,0
孩子,0
小姐,0
先生,0
太太,0
女兒,0
兒子,0
大家,0
路,0
手機,0
明年,0
去年,0
生日,0
月,0
日,0
星期,0
星期天,0
禮拜天,0
週末,0
號,0
天,0
從,0
在,0
愛,0
快樂,0
太,0
公園,0
國家,0
分鐘,0
家人,0
胖,0
矮,0
瘦,0
萬,0
鐘頭,0
晚,0
前天,0
後天,0
前年,0
後年,0
自己,0
它,0
它們,0
最,0
怕,0
美,0
應該,0
真的,0
工作,0
醫生,0
醫師,0
一點,0
一些,0
本,0
張,0
英文,0
紙,0
問題,0
意思,0
餐廳,0
飯館,0
畫,0
讀,0
會,0
為什麼,0
下課,0
說話,0
考試,0
懂,0
念,0
課,0
教,0
告訴,0
錯,0
門口,0
枝,0
牛,0
豬,0
雨,0
空氣,0
功課,0
教室,0
句子,0
休息,0
非常,0
房子,0
房間,0
樓,0
門,0
桌子,0
椅子,0
床,0
開,0
低,0
不錯,0
天氣,0
冷,0
熱,0
下雨,0
風,0
山,0
花,0
魚,0
雞,0
咖啡,0
茶,0
用,0
穿,0
起床,0
方便,0
睡覺,0
起來,0
先,0
常常,0
每,0
打,0
玩,0
運動,0
走路,0
唱歌,0
跳,0
還,0
唱,0
歌,0
跳舞,0
又,0
球,0
介紹,0
沒關係,0
事,0
怎麼,0
哪,0
裡面,0
裏面,0
上面,0
下面,0
外面,0
外頭,0
前面,0
後面,0
左邊,0
右邊,0
旁邊,0
裡,0
裏,0
中,0
地方,0
